TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,prosegments.com,REMARKS
pocketfm,-,-,-,-,-,Invalid domain
https://Livescore.com,-,https://Livescore.com,https://Livescore.com/ads.txt,True,"prosegments.com, PSADG102, DIRECT",
https://pcquest.com,-,https://pcquest.com,https://pcquest.com/ads.txt,True,"prosegments.com, PSCM106, DIRECT",
https://timesofindia.indiatimes.com,-,https://timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/ads.txt,True,-,
https://cyberastro.com,-,-,-,-,-,Text content not found
https://news18.com,-,https://news18.com,https://news18.com/ads.txt,True,"prosegments.com, PSADG106, DIRECT",
https://dqindia.com,-,https://dqindia.com,https://dqindia.com/ads.txt,True,"prosegments.com, PSCM101, DIRECT",
https://vipflash.de,-,https://vipflash.de,https://vipflash.de/ads.txt,True,-,
https://Moneycontrol.com,-,https://Moneycontrol.com,https://Moneycontrol.com/ads.txt,True,"prosegments.com, PSADG107, DIRECT",
https://outlook.com,-,-,-,-,-,NA - 403
Indiatodayin,-,-,-,-,-,Invalid domain
https://bhopalsamachar.com,-,https://bhopalsamachar.com,https://bhopalsamachar.com/ads.txt,True,-,
https://timesleader.com,-,-,-,-,-,NA - 403
https://Aajtak.in,-,https://Aajtak.in,https://Aajtak.in/ads.txt,True,-,
https://Amarujala.com,-,https://Amarujala.com,https://Amarujala.com/ads.txt,True,-,
https://premiumtimesng.com,-,-,-,-,-,2 lines only
https://Momjunction.com,-,https://Momjunction.com,https://Momjunction.com/ads.txt,True,-,
https://newindianexpress.com,-,https://newindianexpress.com,https://newindianexpress.com/ads.txt,True,-,
https://samakalikamalyalam.com,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='samakalikamalyalam.com', port=443): Max retries exceeded with url: /ads.txt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fcd5d065390>: Failed to resolve 'samakalikamalyalam.com' ([Errno -2] Name or service not known)""))"
https://ibc24.in,-,https://ibc24.in,https://ibc24.in/ads.txt,True,"prosegments.com, PSADG107, DIRECT; prosegments.com, PSADG254, DIRECT; prosegments.com, PSADG113, DIRECT #prosegments",
https://edexlive.com,-,-,-,-,-,NA - 403
https://dinamani.com,-,https://dinamani.com,https://dinamani.com/ads.txt,True,-,
https://Businesstoday.in,-,https://Businesstoday.in,https://Businesstoday.in/ads.txt,True,-,
https://indiatv.com,-,-,-,-,-,"ConnectionError ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
https://cinemaexpress.com,-,https://cinemaexpress.com,https://cinemaexpress.com/ads.txt,True,-,
https://indulgexpress.com,-,https://indulgexpress.com,https://indulgexpress.com/ads.txt,True,-,
https://ibc24.in,-,https://ibc24.in,https://ibc24.in/ads.txt,True,"prosegments.com, PSADG107, DIRECT; prosegments.com, PSADG254, DIRECT; prosegments.com, PSADG113, DIRECT #prosegments",
https://pakwangali.in,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='pakwangali.in', port=443): Max retries exceeded with url: /ads.txt (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'pakwangali.in'. (_ssl.c:1017)"")))"
https://kannadaprabha.com,-,https://kannadaprabha.com,https://kannadaprabha.com/ads.txt,True,-,
https://prabhatkhabar.com,-,https://prabhatkhabar.com,https://prabhatkhabar.com/ads.txt,True,-,
https://cosmopolitan.in,-,https://cosmopolitan.in,https://cosmopolitan.in/ads.txt,True,-,
https://harpersbazaar.in,-,https://harpersbazaar.in,https://harpersbazaar.in/ads.txt,True,-,
https://zoombangla.com,-,https://zoombangla.com,https://zoombangla.com/ads.txt,True," prosegments.com, PSADG135, DIRECT",
https://kalerkantho.com,-,https://kalerkantho.com,https://kalerkantho.com/ads.txt,True,-,
https://justdial.com,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='justdial.com', port=443): Read timed out. (read timeout=2)"
https://dailyinqilab.com,-,https://dailyinqilab.com,https://dailyinqilab.com/ads.txt,True,-,
https://mzamin.com,-,https://mzamin.com,https://mzamin.com/ads.txt,True,-,
https://samakal.com,-,-,-,-,-,NA - 403
https://dainikamadershomoy.com,-,https://dainikamadershomoy.com,https://dainikamadershomoy.com/ads.txt,True,-,
https://bd-pratidin.com,-,https://bd-pratidin.com,https://bd-pratidin.com/ads.txt,True,-,
https://jamuna.tv,-,https://jamuna.tv,https://jamuna.tv/ads.txt,True,-,
https://amadershomoy.com,-,-,-,-,-,NA - 403
https://ittefaq.com.bd,-,https://ittefaq.com.bd,https://ittefaq.com.bd/ads.txt,True,-,
https://rtvonline.com,-,https://rtvonline.com,https://rtvonline.com/ads.txt,True,-,
https://banglanews24.com,-,https://banglanews24.com,https://banglanews24.com/ads.txt,True,"prosegments.com, PSADG150, DIRECT",
