TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,theaudiencestreet.com,REMARKS
safari-reader,-,-,-,-,-,Invalid domain
https://nanoreview.net,-,https://nanoreview.net,https://nanoreview.net/ads.txt,True,-,
https://tecadmin.net,-,https://tecadmin.net,https://tecadmin.net/ads.txt,True,-,
https://streamfare.com,-,https://streamfare.com,https://streamfare.com/ads.txt,True,-,
https://theitbros.com,-,-,-,-,-,NA - 202
https://colonist.io,-,https://colonist.io,https://colonist.io/ads.txt,True,-,
https://brokensilenze.net,-,-,-,-,-,NA - 202
https://brokensilenze.net,-,-,-,-,-,NA - 202
https://national-park.com,-,https://national-park.com,https://national-park.com/ads.txt,True,"theaudiencestreet.com,TAS-703,RESELLER",
https://dotnettutorials.net,-,https://dotnettutorials.net,https://dotnettutorials.net/ads.txt,True,-,
https://refdesk.com,-,https://refdesk.com,https://refdesk.com/ads.txt,True,-,
https://aktuelle-auto-news.de,-,https://aktuelle-auto-news.de,https://aktuelle-auto-news.de/ads.txt,True,-,
https://ww2.readsololeveling.org,-,https://ww2.readsololeveling.org,https://ww2.readsololeveling.org/ads.txt,True,"theaudiencestreet.com, 323-b5685, DIRECT, 20e30b2ae1f670f2",
https://mangaeffect.com,-,https://mangaeffect.com,https://mangaeffect.com/ads.txt,True,"theaudiencestreet.com, TAS-703, RESELLER",
https://postimg.cc,-,-,-,-,-,Empty response
https://anandabazar.com,-,https://anandabazar.com,https://anandabazar.com/ads.txt,True,-,
https://onlinedominogames.com,-,https://onlinedominogames.com,https://onlinedominogames.com/ads.txt,True,-,
https://ww6.readfairytail.com,-,https://ww6.readfairytail.com,https://ww6.readfairytail.com/ads.txt,True,-,
https://movie-screencaps.com,-,https://movie-screencaps.com,https://movie-screencaps.com/ads.txt,True,-,
https://philstar.com,-,https://philstar.com,https://philstar.com/ads.txt,True,"theaudiencestreet.com, N19T95, DIRECT; theaudiencestreet.com, 1183-fb, RESELLER",
https://dlpanda.com,-,https://dlpanda.com,https://dlpanda.com/ads.txt,True,-,
https://celeb98.com,-,https://celeb98.com,https://celeb98.com/ads.txt,False,"theaudiencestreet.com, n19t95, DIRECT; theaudiencestreet.com, 1183-fb, RESELLER; theaudiencestreet.com, 323-b5685, DIRECT, 20e30b2ae1f670f2; theaudiencestreet.com, N19T95, DIRECT",
https://merojax.me,-,https://merojax.me,https://merojax.me/ads.txt,True,"theaudiencestreet.com, TAS-703, RESELLER",
https://ww8.readmha.com,-,https://ww8.readmha.com,https://ww8.readmha.com/ads.txt,True,-,
https://colonist.io,-,https://colonist.io,https://colonist.io/ads.txt,True,-,
https://boxnovel.com,-,-,-,-,-,Text content not found
https://ww4.readkingdom.com,-,https://ww4.readkingdom.com,https://ww4.readkingdom.com/ads.txt,True,"theaudiencestreet.com, 323-b5685, DIRECT, 20e30b2ae1f670f2",
https://mydailystars.com,-,https://mydailystars.com,https://mydailystars.com/ads.txt,True,-,
https://v2.totalsporteks.net,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='v2.totalsporteks.net', port=443): Max retries exceeded with url: /ads.txt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fda4cf13d00>: Failed to resolve 'v2.totalsporteks.net' ([Errno -2] Name or service not known)""))"
